job_id,title,location,country,job_family,employment_type,employee_type,url
JR327543,Software Engineering LMTS - Tableau,India - Hyderabad,India,Software Engineering,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Software-Engineering-LMTS---Tableau_JR327543
JR327679,Senior Technical Consultant - Salesforce DevOps,India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Senior-Technical-Consultant---Salesforce-DevOps_JR327679
JR327810,"Salesforce Technical Architect, Consumer goods (REX or TPM or CG Cloud exp mandatory)",India - Bangalore,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Salesforce-Technical-Architect--Consumer-goods--REX-or-TPM-or-CG-Cloud-exp-mandatory-_JR327810
JR327797,Manager/Senior Manager - Business Strategy,India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Program-Manager---Strategy-and-Operations_JR327797
JR328379,SFMC Architect (DC exp also required),India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/SFMC-Salesforce-Marketing-Cloud-Technical-Architect_JR328379
JR330631,Agentforce/Data Cloud - Readiness Architect,India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Readiness-Architect_JR330631
JR331097,Customer Success Manager (Salesforce technical exp mandatory-AMER timezone),India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Customer-Success-Manager--Salesforce-technical-exp-mandatory-AMER-timezone-_JR331097-1
JR331777,Customer Success Manager (Salesforce Commerce Cloud / Demandware exp mandatory),India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Customer-Success-Manager--Salesforce-Commerce-Cloud---Demandware-exp-mandatory-_JR331777
JR331971,Salesforce-Senior Technical Architect,India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Salesforce-Technical-Architect_JR331971
JR332873,Manager Technical Consulting (Salesforce+ Tech arch+domain(Health/Insurance/Comms/FINS/SF CPQ/Consumer Goods Experience mandatory)),India - Bangalore,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Manager-Senior-Manager-Technical-Consulting--Salesforce-Experience-mandatory-_JR332873
JR333705,Technical Support Engineer,India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Success-Engineer_JR333705
JR334050,Technical Support Engineer - Informatica MDM,India - Bangalore,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Technical-Support-Engineer_JR334050
JR334118,Salesforce Technical Manager ( Salesforce Technical Architect exp is Manadatory ),India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Salesforce-Technical-Manager_JR334118
JR334796,Lead User Experience Designer,India - Bangalore,India,User Experience,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Bangalore/Lead-User-Experience-Designer_JR334796
JR335049,Field Service AI Technical Architect,India - Gurgaon,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Gurgaon/Field-Service-AI-Technical-Architect_JR335049
JR336879,Salesforce Project Manager - Japanese speaking,India - Hyderabad,India,Customer Success,Full time,Regular,https://salesforce.wd12.myworkdayjobs.com/External_Career_Site/job/India---Hyderabad/Salesforce-Project-Manager---Japanese-speaking_JR336879
