title,role,location,experience,skills,apply_id
AI Automation Expert,Lead Software Engineer,"Bangalore, India",,IA-LCNCPowerPlatform.,creq264524
Pega SSA Constellation,Lead Software Engineer,"Hyderabad, India",,Pega-Pega Platform Skills.,creq264193
Data Engineer AWS Databricks,Lead Software Engineer,"Hyderabad, India",,"Data-PL/SQL,RDBMS databases, SQL scripts  .",creq263964
Senior Data Modeler,Lead Software Engineer,"Hyderabad, India",,"Data-PL/SQL,RDBMS databases, SQL scripts  .",creq264069
Pega Developer,Lead Software Engineer,"Hyderabad, India",,Pega-Pega Platform Skills + CS.,creq263433
Senior Tester,Lead Software Engineer,"Hyderabad, India",,DA-WebSeleniumJava.,creq264737
AS400 Tester,Lead Software Engineer,"Hyderabad, India",,DA-WebSeleniumJava.,creq263310
LoanIQ BA,Architect (Level: Manager),"Hyderabad, India",,CS-BFS-CB-CHAN.,creq261943
Architect (ATC),Architect (Level: Manager),"Bangalore, India",,Pega-Pega Platform Skills + SA.,creq262308
Technical Manager (Gen AIML),Architect (Level: Manager),"Pune, India",,AIMS-GenAISupport-Others.,creq264402
Playwright QA,Lead Software Engineer,"Chennai, India",,DA-WebCyprssPlywrght.,creq264717
Lead Data Tester,Lead Software Engineer,"Chennai, India",,"Data-SQL Server with Data Modeling,Performance Tuning,ETL.",creq263168
Databricks Data Engineer,Lead Software Engineer,"Bangalore, India",,"Data-Databricks with Azure Native Services, Spark,Python/Scala/Java,Kafka,HDFS, Hive.",creq264075
Java FSD + AWS,Lead Software Engineer,"Chennai, India",,DE-Full Stack Foundation.,creq264240
Sharepoint,Architect (Level: Manager),"Hyderabad, India",,AIMS-AMS-EntAppSup-Others.,creq264060
Oracle DBA,Lead Software Engineer,"Gurgaon, India",,Data-DataWarehouse-DBA (specialised Data Warehouse administrator).,creq263544
OBIEE developer,Lead Software Engineer,"Gurgaon, India",,"Data-BI Tools, Data and Cloud Skills.",creq263553
ETL Tester,Lead Software Engineer,"Gurgaon, India",,"Data-Data Warehouse Testing with Data Migration testing, ETL testing, Performance testing and Data Security Testing.",creq263786
Salesforce Automation,Lead Software Engineer,"Hyderabad, India",,DA-PlatfrmSFSelAPI.,creq264314
Azure Api,Lead Software Engineer,"Hyderabad, India",,DE-API_Foundation.,creq264280
Java FSD + AWS,Lead Software Engineer,"Chennai, India",,DE-Full Stack Foundation.,creq263960
Java kafka,Associate Architect (Level: Associate Manager),"Hyderabad, India",,DE-Service Dev Foundation.,creq252927
Data Engineer,Lead Software Engineer,"Chennai, India",,"Data-AWS Glue with EMR, Spark, Redshift,Kinesis,S3,AWS Native Data Services.",creq259457
Gen AI FSD Lead,Lead Software Engineer,"Hyderabad, India",,AILab-GENAI-AWS.,creq264211
Java Kafka Developer,Lead Software Engineer,"Hyderabad, India",,DE-Service Dev Foundation.,creq264143
Java Full Stack,Lead Software Engineer,"Chennai, India",,DE-Full Stack Foundation.,creq263962
Consultant,Senior Software Engineer,"Chennai, India",,AIMS-Security-IAM.,creq264108
Java Full Stack Developer,Lead Software Engineer,"Chennai, India",,DE-Full Stack Foundation.,creq263961
